ID,Залоги
8432754,1
8220691,1
10199698,1
5505668,1
9813907,1
6783717,1
2128979,1
9813928,1
6404538,1
97295,1
5050533,1
7762105,1
2772,1
6047728,1
7762224,1
8133669,1
5826826,1
10836672,1
8227640,1
6783736,1
7886281,1
1131835,1
247610,1
568256,1
9457685,1
7559725,1
4455321,1
1653691,1
6964203,1
1108359,1
