ID,Лизинг
1681719,1
5050682,1
8780621,1
1729424,1
8632204,1
8354942,1
8641759,1
8285888,1
7212520,1
11349415,1
6589477,1
1075295,1
5925791,1
9605515,1
3883636,1
10475208,1
6225950,1
9407575,1
11611342,1
12454807,1
10272334,1
9773153,1
8636991,1
12117029,1
5298625,1
1612,1
10690601,1
5426125,1
8937652,1
11404065,1
9995684,1
9240192,1
10463069,1
12448950,1
8414779,1
45932,1
11824262,1
8637625,1
7213517,1
1107351,1
10777372,1
8328049,1
5059406,1
9645626,1
567777,1
5654587,1
1452486,1
12116653,1
10264478,1
6523006,1
1722695,1
7380808,1
5925709,1
937205,1
5050139,1
12362519,1
7886629,1
10085360,1
7652231,1
6048197,1
4622675,1
9808605,1
1112616,1
1128733,1
8774767,1
11880842,1
4835856,1
7486452,1
8576017,1
9050341,1
936700,1
1140542,1
1131600,1
7756267,1
705277,1
11504930,1
8548518,1
8659283,1
7884587,1
11674298,1
1155689,1
9178572,1
4464222,1
7340959,1
10463055,1
11836486,1
8606785,1
7754741,1
10155174,1
8745601,1
7161799,1
11593473,1
6048141,1
8650153,1
5050066,1
10568368,1
9263738,1
4608979,1
12074323,1
1729429,1
12230818,1
10385936,1
10273726,1
11533849,1
8981691,1
10813310,1
10076317,1
2285011,1
6048138,1
9297921,1
9681116,1
5425508,1
2133353,1
5049426,1
4602003,1
4598447,1
5050219,1
2063859,1
7591680,1
9741928,1
8070457,1
9040910,1
8824062,1
10238452,1
1108309,1
10672688,1
11781590,1
11555052,1
8307549,1
9534100,1
9046483,1
9856427,1
814452,1
5426279,1
8360621,1
7213080,1
9904015,1
10624086,1
936960,1
8851630,1
11336578,1
97440,1
10826251,1
8456544,1
4601993,1
6300274,1
4602011,1
7128970,1
936101,1
4867408,1
7652209,1
7213417,1
4288652,1
5505088,1
5926603,1
6959492,1
7341161,1
9160681,1
4464273,1
9160729,1
10951,1
7652224,1
4626215,1
568340,1
7884682,1
7478468,1
11855292,1
5065345,1
10898397,1
5050859,1
8840426,1
8489863,1
1105492,1
5061348,1
11365780,1
11402768,1
4622810,1
10076324,1
8391380,1
8680936,1
9438488,1
8148,1
12179204,1
5926373,1
11923598,1
6225954,1
10594373,1
4059184,1
485005,1
6049117,1
9063413,1
10564635,1
8896427,1
5298599,1
7213642,1
6226348,1
8290166,1
7842,1
7947043,1
8950745,1
6523020,1
9407546,1
10843584,1
936940,1
7485041,1
7490847,1
9501369,1
11697619,1
10065923,1
567824,1
11607816,1
8500879,1
6404567,1
12116804,1
1729427,1
9573713,1
10730791,1
6997458,1
7884670,1
9681039,1
10726690,1
9229147,1
7213597,1
7984528,1
7652183,1
11504926,1
568332,1
4933452,1
8840442,1
5049953,1
5297172,1
6962517,1
9396458,1
8806,1
10636586,1
10745181,1
11447892,1
4608777,1
485073,1
5298220,1
4626174,1
10102749,1
5506361,1
4586315,1
5061490,1
8525507,1
11511689,1
11928169,1
52391,1
8558562,1
6047737,1
6299682,1
8719084,1
2064505,1
11654608,1
5925747,1
5059509,1
1061953,1
8656696,1
6404870,1
8892996,1
3426524,1
4073589,1
1326595,1
6589469,1
7212894,1
8837168,1
8814474,1
11596013,1
11355636,1
10702811,1
5425090,1
9958900,1
5926402,1
7524060,1
9831780,1
8214473,1
10538847,1
1145656,1
568115,1
5926815,1
8068809,1
4300924,1
8404555,1
4835302,1
2314790,1
8582592,1
10260132,1
47075,1
7414613,1
4283828,1
2249597,1
9037146,1
5687134,1
1581448,1
11355659,1
6048624,1
11346067,1
5925677,1
10196582,1
9850811,1
7002773,1
9992056,1
11623770,1
8658965,1
11329885,1
12223838,1
9750322,1
