ID,БГ
8842624,1
7425892,1
7758686,1
568385,1
8951609,1
4430336,1
52392,1
8951326,1
9070045,1
49866,1
6961588,1
8555487,1
9963575,1
7588401,1
4288798,1
8757894,1
5425217,1
8639331,1
4159487,1
4601929,1
5826206,1
9117495,1
2169546,1
936551,1
395746,1
7052249,1
4601955,1
5505922,1
8704776,1
896954,1
8643486,1
11475100,1
9831807,1
11657913,1
6405467,1
7762165,1
6589503,1
9901239,1
7514765,1
9773124,1
6552358,1
7424024,1
9063426,1
937156,1
7428396,1
8766255,1
6783717,1
6300196,1
8774011,1
568433,1
5049459,1
7758952,1
8390771,1
9513723,1
2694162,1
10920918,1
5299755,1
1128695,1
7886281,1
8091834,1
11613447,1
8251387,1
2314778,1
7561028,1
11688956,1
